"project_id","deployment_id","subproject_name","subproject_design","placename","longitude","latitude","start_date","end_date","event_name","event_description","event_type","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by","event","array_name"
"TT2007","T25L-1","","","T25",101.4005818,5.38540019,"9/1/07","12/4/07","","","","None","","Active logging road","","T25L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T25L-2","","","T25",101.4005818,5.38540019,"12/5/07","2/7/08","","","","None","","Active logging road","","T25L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T25R-1","","","T25",101.4005818,5.38540019,"9/1/07","10/27/07","","","","None","","Active logging road","","T25R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T25R-2","","","T25",101.4005818,5.38540019,"12/4/07","12/27/07","","","","None","","Active logging road","","T25R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T19L-1","","","T19",101.4026873,5.393601307,"9/1/07","11/28/07","","","","None","","Old logging road","","T19L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T19L-2","","","T19",101.4026873,5.393601307,"12/4/07","2/7/08","","","","None","","Old logging road","","T19L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T19R-1","","","T19",101.4026873,5.393601307,"9/1/07","11/26/07","","","","None","","Old logging road","","T19R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T19R-2","","","T19",101.4026873,5.393601307,"12/4/07","2/7/08","","","","None","","Old logging road","","T19R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T01R-1","","","T01",101.4068038,5.447847535,"3/6/08","4/20/08","","","","None","","Forest trail","","T01R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T26L-1","","","T26",101.4134762,5.383322234,"9/1/07","12/4/07","","","","None","","Old logging road","","T26L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
